5000	7	0	0	0	0	0
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
0.0004	1e-06	1e-06	1e-06	1e-06	0.01	0.01	
